------------------------ RESULTADOS ---------------------------

--- Minimo Soporte: 0.1 ------ Minima Confianza: 0.1 ---

---------------------------- REGLAS ------------------------------
Regla #: antecedente --> consecuente        soporte - confianza
Regla 53: [3, 5] --> [1, 4, 6]        S(0.143) - C(1.000)
Regla 54: [1, 5] --> [3, 4, 6]        S(0.143) - C(1.000)
Regla 55: [1, 5, 6] --> [4]        S(0.143) - C(1.000)
Regla 56: [1, 4, 5] --> [6]        S(0.143) - C(1.000)
Regla 57: [3, 4, 6] --> [1]        S(0.143) - C(1.000)
Regla 58: [1, 3, 6] --> [4]        S(0.143) - C(1.000)
Regla 59: [3, 4, 5] --> [1]        S(0.143) - C(1.000)
Regla 60: [1, 4, 5] --> [3]        S(0.143) - C(1.000)
Regla 61: [1, 3, 5] --> [4]        S(0.143) - C(1.000)
Regla 62: [3, 5, 6] --> [1]        S(0.143) - C(1.000)
Regla 63: [1, 5, 6] --> [3]        S(0.143) - C(1.000)
Regla 64: [1, 3, 6] --> [5]        S(0.143) - C(1.000)
Regla 65: [1, 3, 5] --> [6]        S(0.143) - C(1.000)
Regla 66: [3, 5, 6] --> [4]        S(0.143) - C(1.000)
Regla 67: [3, 4, 6] --> [5]        S(0.143) - C(1.000)
Regla 68: [3, 4, 5] --> [6]        S(0.143) - C(1.000)
Regla 69: [3, 5, 6] --> [1, 4]        S(0.143) - C(1.000)
Regla 70: [3, 4, 6] --> [1, 5]        S(0.143) - C(1.000)
Regla 71: [3, 4, 5] --> [1, 6]        S(0.143) - C(1.000)
Regla 72: [1, 5, 6] --> [3, 4]        S(0.143) - C(1.000)
Regla 73: [1, 4, 5] --> [3, 6]        S(0.143) - C(1.000)
Regla 74: [1, 3, 6] --> [4, 5]        S(0.143) - C(1.000)
Regla 75: [1, 3, 5] --> [4, 6]        S(0.143) - C(1.000)
Regla 76: [3, 4, 5, 6] --> [1]        S(0.143) - C(1.000)
Regla 77: [1, 4, 5, 6] --> [3]        S(0.143) - C(1.000)
Regla 78: [1, 3, 5, 6] --> [4]        S(0.143) - C(1.000)
Regla 79: [1, 3, 4, 6] --> [5]        S(0.143) - C(1.000)
Regla 80: [1, 3, 4, 5] --> [6]        S(0.143) - C(1.000)
Regla 81: [1, 6] --> [3]        S(0.143) - C(0.500)
Regla 82: [1, 6] --> [5]        S(0.143) - C(0.500)
Regla 83: [3, 4] --> [6]        S(0.143) - C(0.500)
Regla 84: [3, 4] --> [5]        S(0.143) - C(0.500)
Regla 85: [1, 6] --> [4, 5]        S(0.143) - C(0.500)
Regla 86: [3, 4] --> [1, 6]        S(0.143) - C(0.500)
Regla 87: [1, 6] --> [3, 4]        S(0.143) - C(0.500)
Regla 88: [3, 4] --> [1, 5]        S(0.143) - C(0.500)
Regla 89: [1, 6] --> [3, 5]        S(0.143) - C(0.500)
Regla 90: [3, 4] --> [5, 6]        S(0.143) - C(0.500)
Regla 91: [3, 4] --> [1, 5, 6]        S(0.143) - C(0.500)
Regla 92: [1, 6] --> [3, 4, 5]        S(0.143) - C(0.500)
Regla 93: [1, 4, 6] --> [5]        S(0.143) - C(0.500)
Regla 94: [1, 4, 6] --> [3]        S(0.143) - C(0.500)
Regla 95: [1, 3, 4] --> [6]        S(0.143) - C(0.500)
Regla 96: [1, 3, 4] --> [5]        S(0.143) - C(0.500)
Regla 97: [1, 4, 6] --> [3, 5]        S(0.143) - C(0.500)
Regla 98: [1, 3, 4] --> [5, 6]        S(0.143) - C(0.500)
Regla 99: [5] --> [1]        S(0.143) - C(0.333)
Regla 100: [5] --> [3]        S(0.143) - C(0.333)
Regla 101: [5] --> [1, 4]        S(0.143) - C(0.333)
Regla 102: [5] --> [1, 6]        S(0.143) - C(0.333)
Regla 103: [5] --> [1, 3]        S(0.143) - C(0.333)
Regla 104: [5] --> [3, 4]        S(0.143) - C(0.333)
Regla 105: [5] --> [3, 6]        S(0.143) - C(0.333)
Regla 106: [5] --> [1, 4, 6]        S(0.143) - C(0.333)
Regla 107: [5] --> [1, 3, 4]        S(0.143) - C(0.333)
Regla 108: [5] --> [1, 3, 6]        S(0.143) - C(0.333)
Regla 109: [5] --> [3, 4, 6]        S(0.143) - C(0.333)
Regla 110: [5] --> [1, 3, 4, 6]        S(0.143) - C(0.333)
Regla 111: [4, 5] --> [1]        S(0.143) - C(0.333)
Regla 112: [1, 4] --> [5]        S(0.143) - C(0.333)
Regla 113: [1, 3] --> [6]        S(0.143) - C(0.333)
Regla 114: [5, 6] --> [1]        S(0.143) - C(0.333)
Regla 115: [1, 3] --> [5]        S(0.143) - C(0.333)
Regla 116: [4, 5] --> [3]        S(0.143) - C(0.333)
Regla 117: [5, 6] --> [3]        S(0.143) - C(0.333)
Regla 118: [5, 6] --> [1, 4]        S(0.143) - C(0.333)
Regla 119: [4, 5] --> [1, 6]        S(0.143) - C(0.333)
Regla 120: [1, 4] --> [5, 6]        S(0.143) - C(0.333)
Regla 121: [1, 4] --> [3, 6]        S(0.143) - C(0.333)
Regla 122: [1, 3] --> [4, 6]        S(0.143) - C(0.333)
Regla 123: [4, 5] --> [1, 3]        S(0.143) - C(0.333)
Regla 124: [1, 4] --> [3, 5]        S(0.143) - C(0.333)
Regla 125: [1, 3] --> [4, 5]        S(0.143) - C(0.333)
Regla 126: [5, 6] --> [1, 3]        S(0.143) - C(0.333)
Regla 127: [1, 3] --> [5, 6]        S(0.143) - C(0.333)
Regla 128: [5, 6] --> [3, 4]        S(0.143) - C(0.333)
Regla 129: [4, 5] --> [3, 6]        S(0.143) - C(0.333)
Regla 130: [5, 6] --> [1, 3, 4]        S(0.143) - C(0.333)
Regla 131: [4, 5] --> [1, 3, 6]        S(0.143) - C(0.333)
Regla 132: [1, 4] --> [3, 5, 6]        S(0.143) - C(0.333)
Regla 133: [1, 3] --> [4, 5, 6]        S(0.143) - C(0.333)
Regla 134: [4, 5, 6] --> [1]        S(0.143) - C(0.333)
Regla 135: [4, 5, 6] --> [3]        S(0.143) - C(0.333)
Regla 136: [4, 5, 6] --> [1, 3]        S(0.143) - C(0.333)
Regla 137: [1] --> [5]        S(0.143) - C(0.250)
Regla 138: [6] --> [3]        S(0.143) - C(0.250)
Regla 139: [3] --> [6]        S(0.143) - C(0.250)
Regla 140: [3] --> [2]        S(0.143) - C(0.250)
Regla 141: [3] --> [5]        S(0.143) - C(0.250)
Regla 142: [1] --> [4, 5]        S(0.143) - C(0.250)
Regla 143: [6] --> [1, 3]        S(0.143) - C(0.250)
Regla 144: [3] --> [1, 6]        S(0.143) - C(0.250)
Regla 145: [1] --> [3, 6]        S(0.143) - C(0.250)
Regla 146: [6] --> [1, 5]        S(0.143) - C(0.250)
Regla 147: [1] --> [5, 6]        S(0.143) - C(0.250)
Regla 148: [3] --> [1, 5]        S(0.143) - C(0.250)
Regla 149: [1] --> [3, 5]        S(0.143) - C(0.250)
Regla 150: [6] --> [3, 4]        S(0.143) - C(0.250)
Regla 151: [3] --> [4, 6]        S(0.143) - C(0.250)
Regla 152: [3] --> [4, 5]        S(0.143) - C(0.250)
Regla 153: [6] --> [3, 5]        S(0.143) - C(0.250)
Regla 154: [3] --> [5, 6]        S(0.143) - C(0.250)
Regla 155: [6] --> [1, 4, 5]        S(0.143) - C(0.250)
Regla 156: [1] --> [4, 5, 6]        S(0.143) - C(0.250)
Regla 157: [6] --> [1, 3, 4]        S(0.143) - C(0.250)
Regla 158: [3] --> [1, 4, 6]        S(0.143) - C(0.250)
Regla 159: [1] --> [3, 4, 6]        S(0.143) - C(0.250)
Regla 160: [3] --> [1, 4, 5]        S(0.143) - C(0.250)
Regla 161: [1] --> [3, 4, 5]        S(0.143) - C(0.250)
Regla 162: [6] --> [1, 3, 5]        S(0.143) - C(0.250)
Regla 163: [3] --> [1, 5, 6]        S(0.143) - C(0.250)
Regla 164: [1] --> [3, 5, 6]        S(0.143) - C(0.250)
Regla 165: [6] --> [3, 4, 5]        S(0.143) - C(0.250)
Regla 166: [3] --> [4, 5, 6]        S(0.143) - C(0.250)
Regla 167: [6] --> [1, 3, 4, 5]        S(0.143) - C(0.250)
Regla 168: [3] --> [1, 4, 5, 6]        S(0.143) - C(0.250)
Regla 169: [1] --> [3, 4, 5, 6]        S(0.143) - C(0.250)
Regla 170: [4, 6] --> [3]        S(0.143) - C(0.250)
Regla 171: [4, 6] --> [1, 5]        S(0.143) - C(0.250)
Regla 172: [4, 6] --> [1, 3]        S(0.143) - C(0.250)
Regla 173: [4, 6] --> [3, 5]        S(0.143) - C(0.250)
Regla 174: [4, 6] --> [1, 3, 5]        S(0.143) - C(0.250)
Regla 175: [4] --> [1, 5]        S(0.143) - C(0.200)
Regla 176: [4] --> [3, 6]        S(0.143) - C(0.200)
Regla 177: [4] --> [3, 5]        S(0.143) - C(0.200)
Regla 178: [4] --> [1, 5, 6]        S(0.143) - C(0.200)
Regla 179: [4] --> [1, 3, 6]        S(0.143) - C(0.200)
Regla 180: [4] --> [1, 3, 5]        S(0.143) - C(0.200)
Regla 181: [4] --> [3, 5, 6]        S(0.143) - C(0.200)
Regla 182: [4] --> [1, 3, 5, 6]        S(0.143) - C(0.200)
